EPOCH=001, Accuracy=21.430%, Adv_Accuracy=24.200%, FGSM_Accuracy=17.340%, PGD_Accuracy=17.9800%
EPOCH=002, Accuracy=21.640%, Adv_Accuracy=20.500%, FGSM_Accuracy=15.460%, PGD_Accuracy=15.6400%
EPOCH=003, Accuracy=23.960%, Adv_Accuracy=24.600%, FGSM_Accuracy=17.920%, PGD_Accuracy=17.4000%
EPOCH=004, Accuracy=29.240%, Adv_Accuracy=30.500%, FGSM_Accuracy=24.830%, PGD_Accuracy=24.6200%
EPOCH=005, Accuracy=28.550%, Adv_Accuracy=29.200%, FGSM_Accuracy=24.780%, PGD_Accuracy=25.4900%
EPOCH=006, Accuracy=27.840%, Adv_Accuracy=28.500%, FGSM_Accuracy=23.370%, PGD_Accuracy=23.3000%
EPOCH=007, Accuracy=30.980%, Adv_Accuracy=32.200%, FGSM_Accuracy=26.740%, PGD_Accuracy=26.8200%
EPOCH=008, Accuracy=29.190%, Adv_Accuracy=31.200%, FGSM_Accuracy=25.850%, PGD_Accuracy=25.8700%
EPOCH=009, Accuracy=30.130%, Adv_Accuracy=30.600%, FGSM_Accuracy=26.460%, PGD_Accuracy=26.2600%
EPOCH=010, Accuracy=31.220%, Adv_Accuracy=32.900%, FGSM_Accuracy=25.130%, PGD_Accuracy=24.1800%
EPOCH=011, Accuracy=30.880%, Adv_Accuracy=33.400%, FGSM_Accuracy=27.270%, PGD_Accuracy=27.2700%
EPOCH=012, Accuracy=32.500%, Adv_Accuracy=34.700%, FGSM_Accuracy=26.470%, PGD_Accuracy=25.8600%
EPOCH=013, Accuracy=32.460%, Adv_Accuracy=33.900%, FGSM_Accuracy=24.250%, PGD_Accuracy=23.1700%
EPOCH=014, Accuracy=30.210%, Adv_Accuracy=32.400%, FGSM_Accuracy=23.880%, PGD_Accuracy=23.7100%
EPOCH=015, Accuracy=27.430%, Adv_Accuracy=29.000%, FGSM_Accuracy=18.690%, PGD_Accuracy=18.6200%
EPOCH=016, Accuracy=31.230%, Adv_Accuracy=32.100%, FGSM_Accuracy=24.510%, PGD_Accuracy=24.0000%
EPOCH=017, Accuracy=31.690%, Adv_Accuracy=33.400%, FGSM_Accuracy=25.480%, PGD_Accuracy=24.5600%
EPOCH=018, Accuracy=35.350%, Adv_Accuracy=38.000%, FGSM_Accuracy=27.680%, PGD_Accuracy=27.2500%
EPOCH=019, Accuracy=31.240%, Adv_Accuracy=33.600%, FGSM_Accuracy=20.950%, PGD_Accuracy=20.0700%
EPOCH=020, Accuracy=32.600%, Adv_Accuracy=34.900%, FGSM_Accuracy=22.170%, PGD_Accuracy=21.6400%
EPOCH=021, Accuracy=33.330%, Adv_Accuracy=36.000%, FGSM_Accuracy=23.080%, PGD_Accuracy=22.1600%
EPOCH=022, Accuracy=33.320%, Adv_Accuracy=37.800%, FGSM_Accuracy=25.120%, PGD_Accuracy=24.3900%
EPOCH=023, Accuracy=34.630%, Adv_Accuracy=37.400%, FGSM_Accuracy=22.880%, PGD_Accuracy=22.7800%
EPOCH=024, Accuracy=35.080%, Adv_Accuracy=35.500%, FGSM_Accuracy=22.530%, PGD_Accuracy=22.2400%
EPOCH=025, Accuracy=36.320%, Adv_Accuracy=38.500%, FGSM_Accuracy=26.470%, PGD_Accuracy=26.0200%
EPOCH=026, Accuracy=31.250%, Adv_Accuracy=31.400%, FGSM_Accuracy=21.590%, PGD_Accuracy=20.9500%
EPOCH=027, Accuracy=32.420%, Adv_Accuracy=33.100%, FGSM_Accuracy=24.610%, PGD_Accuracy=24.7000%
EPOCH=028, Accuracy=35.960%, Adv_Accuracy=35.200%, FGSM_Accuracy=26.480%, PGD_Accuracy=26.1200%
EPOCH=029, Accuracy=34.090%, Adv_Accuracy=32.900%, FGSM_Accuracy=25.060%, PGD_Accuracy=24.3100%
EPOCH=030, Accuracy=33.380%, Adv_Accuracy=33.300%, FGSM_Accuracy=22.700%, PGD_Accuracy=22.4300%
EPOCH=031, Accuracy=31.510%, Adv_Accuracy=32.100%, FGSM_Accuracy=19.110%, PGD_Accuracy=19.4500%
EPOCH=032, Accuracy=26.880%, Adv_Accuracy=30.500%, FGSM_Accuracy=16.840%, PGD_Accuracy=16.6700%
EPOCH=033, Accuracy=34.050%, Adv_Accuracy=36.700%, FGSM_Accuracy=19.340%, PGD_Accuracy=18.6500%
EPOCH=034, Accuracy=30.820%, Adv_Accuracy=31.500%, FGSM_Accuracy=18.170%, PGD_Accuracy=17.6100%
EPOCH=035, Accuracy=24.980%, Adv_Accuracy=24.900%, FGSM_Accuracy=17.030%, PGD_Accuracy=16.6400%
EPOCH=036, Accuracy=30.070%, Adv_Accuracy=30.200%, FGSM_Accuracy=17.610%, PGD_Accuracy=17.1400%
EPOCH=037, Accuracy=26.790%, Adv_Accuracy=27.500%, FGSM_Accuracy=17.220%, PGD_Accuracy=17.1400%
EPOCH=038, Accuracy=33.260%, Adv_Accuracy=34.600%, FGSM_Accuracy=17.930%, PGD_Accuracy=17.4500%
EPOCH=039, Accuracy=30.980%, Adv_Accuracy=30.400%, FGSM_Accuracy=20.700%, PGD_Accuracy=20.5300%
EPOCH=040, Accuracy=39.650%, Adv_Accuracy=39.900%, FGSM_Accuracy=21.690%, PGD_Accuracy=21.2300%
EPOCH=041, Accuracy=36.160%, Adv_Accuracy=37.500%, FGSM_Accuracy=18.720%, PGD_Accuracy=18.7500%
EPOCH=042, Accuracy=32.920%, Adv_Accuracy=34.700%, FGSM_Accuracy=17.420%, PGD_Accuracy=17.2500%
EPOCH=043, Accuracy=37.920%, Adv_Accuracy=39.400%, FGSM_Accuracy=16.070%, PGD_Accuracy=15.4600%
EPOCH=044, Accuracy=38.600%, Adv_Accuracy=37.000%, FGSM_Accuracy=20.860%, PGD_Accuracy=20.9600%
EPOCH=045, Accuracy=39.140%, Adv_Accuracy=38.400%, FGSM_Accuracy=22.220%, PGD_Accuracy=22.7600%
EPOCH=046, Accuracy=41.660%, Adv_Accuracy=43.900%, FGSM_Accuracy=20.880%, PGD_Accuracy=20.9000%
EPOCH=047, Accuracy=44.840%, Adv_Accuracy=43.000%, FGSM_Accuracy=20.940%, PGD_Accuracy=20.6600%
EPOCH=048, Accuracy=40.300%, Adv_Accuracy=43.000%, FGSM_Accuracy=20.200%, PGD_Accuracy=20.0000%
EPOCH=049, Accuracy=41.100%, Adv_Accuracy=41.400%, FGSM_Accuracy=24.350%, PGD_Accuracy=24.1800%
EPOCH=050, Accuracy=47.200%, Adv_Accuracy=47.000%, FGSM_Accuracy=24.320%, PGD_Accuracy=23.3800%
EPOCH=051, Accuracy=49.280%, Adv_Accuracy=48.200%, FGSM_Accuracy=28.760%, PGD_Accuracy=28.5100%
EPOCH=052, Accuracy=47.460%, Adv_Accuracy=50.500%, FGSM_Accuracy=22.600%, PGD_Accuracy=21.6200%
EPOCH=053, Accuracy=47.330%, Adv_Accuracy=43.800%, FGSM_Accuracy=29.530%, PGD_Accuracy=29.1700%
EPOCH=054, Accuracy=46.930%, Adv_Accuracy=45.800%, FGSM_Accuracy=24.430%, PGD_Accuracy=23.5300%
EPOCH=055, Accuracy=50.880%, Adv_Accuracy=50.800%, FGSM_Accuracy=32.670%, PGD_Accuracy=32.2500%
EPOCH=056, Accuracy=50.820%, Adv_Accuracy=50.300%, FGSM_Accuracy=29.310%, PGD_Accuracy=29.4100%
EPOCH=057, Accuracy=52.070%, Adv_Accuracy=52.600%, FGSM_Accuracy=27.630%, PGD_Accuracy=26.7900%
EPOCH=058, Accuracy=54.200%, Adv_Accuracy=52.900%, FGSM_Accuracy=37.860%, PGD_Accuracy=36.7500%
EPOCH=059, Accuracy=52.570%, Adv_Accuracy=53.200%, FGSM_Accuracy=31.750%, PGD_Accuracy=31.7400%
EPOCH=060, Accuracy=52.950%, Adv_Accuracy=53.400%, FGSM_Accuracy=29.000%, PGD_Accuracy=28.4900%
EPOCH=061, Accuracy=53.460%, Adv_Accuracy=54.400%, FGSM_Accuracy=31.250%, PGD_Accuracy=31.1400%
EPOCH=062, Accuracy=57.910%, Adv_Accuracy=57.100%, FGSM_Accuracy=44.150%, PGD_Accuracy=43.9500%
EPOCH=063, Accuracy=54.760%, Adv_Accuracy=54.400%, FGSM_Accuracy=40.200%, PGD_Accuracy=40.2000%
EPOCH=064, Accuracy=56.380%, Adv_Accuracy=55.000%, FGSM_Accuracy=46.120%, PGD_Accuracy=46.6600%
EPOCH=065, Accuracy=57.140%, Adv_Accuracy=56.000%, FGSM_Accuracy=34.080%, PGD_Accuracy=33.0300%
EPOCH=066, Accuracy=58.560%, Adv_Accuracy=58.100%, FGSM_Accuracy=43.990%, PGD_Accuracy=43.5800%
EPOCH=067, Accuracy=55.610%, Adv_Accuracy=55.900%, FGSM_Accuracy=42.610%, PGD_Accuracy=41.8400%
EPOCH=068, Accuracy=57.830%, Adv_Accuracy=57.100%, FGSM_Accuracy=43.440%, PGD_Accuracy=42.5100%
EPOCH=069, Accuracy=56.160%, Adv_Accuracy=56.300%, FGSM_Accuracy=42.950%, PGD_Accuracy=42.4600%
EPOCH=070, Accuracy=57.030%, Adv_Accuracy=57.200%, FGSM_Accuracy=45.290%, PGD_Accuracy=44.0600%
EPOCH=071, Accuracy=62.420%, Adv_Accuracy=59.200%, FGSM_Accuracy=47.290%, PGD_Accuracy=47.1800%
EPOCH=072, Accuracy=62.150%, Adv_Accuracy=61.000%, FGSM_Accuracy=46.050%, PGD_Accuracy=45.7700%
EPOCH=073, Accuracy=62.490%, Adv_Accuracy=61.000%, FGSM_Accuracy=44.860%, PGD_Accuracy=45.2600%
EPOCH=074, Accuracy=62.780%, Adv_Accuracy=60.000%, FGSM_Accuracy=48.390%, PGD_Accuracy=48.0900%
EPOCH=075, Accuracy=62.230%, Adv_Accuracy=62.600%, FGSM_Accuracy=45.890%, PGD_Accuracy=45.9500%
EPOCH=076, Accuracy=61.580%, Adv_Accuracy=59.200%, FGSM_Accuracy=46.510%, PGD_Accuracy=46.4000%
EPOCH=077, Accuracy=61.900%, Adv_Accuracy=61.100%, FGSM_Accuracy=47.280%, PGD_Accuracy=48.3600%
EPOCH=078, Accuracy=62.190%, Adv_Accuracy=59.300%, FGSM_Accuracy=45.770%, PGD_Accuracy=46.4600%
EPOCH=079, Accuracy=61.020%, Adv_Accuracy=59.100%, FGSM_Accuracy=45.020%, PGD_Accuracy=45.5400%
EPOCH=080, Accuracy=61.440%, Adv_Accuracy=60.400%, FGSM_Accuracy=45.500%, PGD_Accuracy=45.2500%
EPOCH=081, Accuracy=62.430%, Adv_Accuracy=60.900%, FGSM_Accuracy=47.300%, PGD_Accuracy=47.4600%
EPOCH=082, Accuracy=63.370%, Adv_Accuracy=62.700%, FGSM_Accuracy=48.950%, PGD_Accuracy=48.8800%
EPOCH=083, Accuracy=62.230%, Adv_Accuracy=61.300%, FGSM_Accuracy=48.690%, PGD_Accuracy=48.6300%
EPOCH=084, Accuracy=63.350%, Adv_Accuracy=63.500%, FGSM_Accuracy=49.500%, PGD_Accuracy=49.4600%
EPOCH=085, Accuracy=62.970%, Adv_Accuracy=60.800%, FGSM_Accuracy=48.680%, PGD_Accuracy=48.7200%
EPOCH=086, Accuracy=62.720%, Adv_Accuracy=61.500%, FGSM_Accuracy=48.240%, PGD_Accuracy=49.1300%
EPOCH=087, Accuracy=63.040%, Adv_Accuracy=62.800%, FGSM_Accuracy=46.420%, PGD_Accuracy=46.9000%
EPOCH=088, Accuracy=62.910%, Adv_Accuracy=61.100%, FGSM_Accuracy=50.310%, PGD_Accuracy=50.0300%
EPOCH=089, Accuracy=63.210%, Adv_Accuracy=62.700%, FGSM_Accuracy=47.940%, PGD_Accuracy=48.6100%
EPOCH=090, Accuracy=63.610%, Adv_Accuracy=61.800%, FGSM_Accuracy=49.710%, PGD_Accuracy=49.9100%
EPOCH=091, Accuracy=62.800%, Adv_Accuracy=60.900%, FGSM_Accuracy=46.770%, PGD_Accuracy=46.8300%
EPOCH=092, Accuracy=63.450%, Adv_Accuracy=62.500%, FGSM_Accuracy=47.560%, PGD_Accuracy=47.5900%
EPOCH=093, Accuracy=62.500%, Adv_Accuracy=60.900%, FGSM_Accuracy=47.890%, PGD_Accuracy=48.2000%
EPOCH=094, Accuracy=61.340%, Adv_Accuracy=60.200%, FGSM_Accuracy=48.510%, PGD_Accuracy=48.5400%
EPOCH=095, Accuracy=63.770%, Adv_Accuracy=64.000%, FGSM_Accuracy=49.480%, PGD_Accuracy=49.2300%
EPOCH=096, Accuracy=63.160%, Adv_Accuracy=62.600%, FGSM_Accuracy=47.660%, PGD_Accuracy=47.4900%
EPOCH=097, Accuracy=63.800%, Adv_Accuracy=62.300%, FGSM_Accuracy=49.480%, PGD_Accuracy=49.5300%
EPOCH=098, Accuracy=62.740%, Adv_Accuracy=62.300%, FGSM_Accuracy=49.830%, PGD_Accuracy=49.6400%
EPOCH=099, Accuracy=64.680%, Adv_Accuracy=64.200%, FGSM_Accuracy=51.710%, PGD_Accuracy=51.9700%
EPOCH=100, Accuracy=64.150%, Adv_Accuracy=62.400%, FGSM_Accuracy=51.050%, PGD_Accuracy=50.7300%
